"";"age";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"79";79;3244;3313;3211;3217;3342;3463;3395;3406;3483;3348;3439;3406;3312;3335;3031;3112;2888;2781;3350;3340;3030;2907;2968;2720;2496;2519;2480;2440;2309;2316;2357;2120;2182;2065;2123
"80";80;3280;3376;3353;3305;3322;3505;3540;3635;3729;3464;3688;3511;3509;3470;3204;3282;3176;3079;2982;3551;3531;3327;3147;3040;2864;2803;2662;2592;2485;2401;2499;2432;2286;2237;2142
"81";81;3387;3345;3480;3304;3310;3432;3497;3572;3824;3464;3757;3647;3561;3745;3532;3415;3377;3371;3227;3226;3655;3743;3546;3211;3016;3068;2869;2961;2728;2756;2644;2588;2600;2564;2350
"82";82;3254;3345;3271;3435;3412;3563;3577;3543;3780;3525;3834;3760;3759;3841;3598;3548;3593;3495;3451;3481;3279;3832;3810;3779;3326;3311;3245;3029;3097;2830;2859;2729;2889;2697;2544
"83";83;3254;3180;3230;3355;3357;3485;3548;3488;3695;3504;3873;3877;3868;3870;3598;3858;3659;3547;3514;3672;3520;3238;4089;3950;3627;3450;3339;3435;3250;3040;3040;3026;2984;2927;2848
"84";84;3038;3164;3178;3147;3254;3495;3384;3401;3640;3525;3632;3857;3790;4050;3702;3832;3823;3781;3728;3689;3619;3632;3468;4147;3956;3915;3574;3552;3496;3352;3306;3244;3239;3109;3087
"85";85;2991;3165;2996;3119;3093;3324;3420;3420;3486;3542;3629;3685;3824;3924;3846;3872;3867;3823;3852;3713;3756;3652;3756;3500;4102;4165;4118;3729;3704;3578;3444;3404;3423;3368;3228
"86";86;2888;2954;2831;3033;2922;3285;3193;3295;3473;3364;3388;3494;3529;3827;3578;3850;3849;3840;3861;3913;3835;3800;3798;3647;3499;4123;4226;4041;3889;3803;3656;3612;3630;3379;3403
"87";87;2540;2746;2571;2546;2645;2880;3024;3125;3290;3136;3415;3233;3364;3645;3554;3761;3804;3627;3836;3928;3882;3807;3861;3835;3689;3601;4193;4389;4144;3774;3778;3813;3726;3534;3484
"88";88;2229;2435;2357;2568;2475;2669;2712;2789;3079;2975;2990;3072;3201;3462;3289;3398;3709;3545;3639;3775;3771;3750;3883;3620;3586;3674;3461;4236;4357;4164;3911;3837;3926;3692;3608
